,close,volume
2021-09-03,34.96973532843618,4998604
2021-09-06,36.93133273035219,13431259
2021-09-07,34.11163790848699,15984976
2021-09-08,34.68985331573851,11436103
2021-09-09,32.23037272001052,5063438
2021-09-10,35.76396976631792,10329361
2021-09-13,38.54473535473691,18835359
2021-09-14,35.18822290054455,8859504
2021-09-15,34.18153405022927,5338706
2021-09-16,38.78518728254714,9406239
2021-09-17,38.95276826042567,18311134
2021-09-20,39.01659069147345,18465921
2021-09-21,37.84213033846054,1867365
2021-09-22,38.985818194894854,13630637
2021-09-23,40.83146386767123,11397027
2021-09-24,37.00372412825215,16559963
2021-09-27,32.13330974599422,13528874
2021-09-28,27.752386882423032,9010765
2021-09-29,29.427890197416797,11036995
2021-09-30,30.06563225308071,12583272
2021-10-01,38.92645904152874,11158581
2021-10-04,38.445136365453266,16807038
2021-10-05,37.67917059894181,16455592
2021-10-06,37.29503085251756,12390621
2021-10-07,37.698345327898764,11237284
2021-10-08,36.64668314102073,11076310
2021-10-11,33.39517079596045,17755396
2021-10-12,33.54213340185432,13625030
2021-10-13,33.13187523615741,19958758
2021-10-14,32.92598842089324,19198579
2021-10-15,34.98507498902776,13457402
2021-10-18,35.60167202802167,2806709
2021-10-19,31.28678453857525,18790867
2021-10-20,29.22972547658956,19729171
2021-10-21,29.510535412969066,4338978
2021-10-22,29.281642828718756,16934051
2021-10-25,30.971539127718483,16425375
2021-10-26,30.497850183114117,9231901
2021-10-27,25.00506229218782,12420191
2021-10-28,23.034539021595574,11858126
2021-10-29,25.296870757388835,9162568
2021-11-01,25.465376963958548,19375752
2021-11-02,29.659527800763204,10342595
2021-11-03,29.886352958245464,19860840
2021-11-04,28.516160752797145,8557593
2021-11-05,26.933633135148376,13156724
2021-11-08,26.30746780221454,9708094
2021-11-09,27.58900748686696,11019853
2021-11-10,28.201827687107397,13117769
2021-11-11,30.221038655241138,10243631
2021-11-12,26.55491928596611,2917453
2021-11-15,23.67760963605041,1542917
2021-11-16,23.623921686261422,3495241
2021-11-17,25.66552754038913,4962195
2021-11-18,28.38852016803545,11435492
2021-11-19,27.589440149913152,9081675
2021-11-22,21.80053056262847,9823479
2021-11-23,21.431130324219144,18217500
2021-11-24,23.215998203647935,1844442
2021-11-25,24.371182499672862,7253174
2021-11-26,26.09474899556699,9046798
2021-11-29,29.58369212965998,8283483
2021-11-30,28.84068412619184,14220669
2021-12-01,27.399615495701227,18533476
2021-12-02,25.79432812588628,7701172
2021-12-03,23.560562710912063,5844428
2021-12-06,21.003846767685566,15521838
2021-12-07,20.9876074290491,9864872
2021-12-08,24.32790650066123,7155354
2021-12-09,26.28689622246537,6727941
2021-12-10,25.83259169307317,6906772
2021-12-13,32.94593994847718,7626380
2021-12-14,31.05840506063749,1389552
2021-12-15,35.952703893931194,11826912
2021-12-16,39.32697288722409,16153758
2021-12-17,40.3543981817441,4172000
2021-12-20,37.04494493003797,2558539
2021-12-21,35.25399065525549,11506427
2021-12-22,35.488578914211914,2028114
2021-12-23,29.9586698560249,5884071
2021-12-24,27.391724452890596,14196598
2021-12-27,25.25762468537838,13700353
2021-12-28,27.87316982411944,15396314
2021-12-29,31.291303926708494,18802109
2021-12-30,32.917591132731545,18499347
2021-12-31,35.299788911212254,2190324
2022-01-03,32.80712383530058,11313490
2022-01-04,31.747336873703368,1126996
2022-01-05,30.712697828350912,6346203
2022-01-06,32.27888580416294,9023326
2022-01-07,39.282823135807895,18604253
2022-01-10,36.5667160351366,2127528
2022-01-11,38.46943779573866,14916130
2022-01-12,42.69046057589932,1778005
2022-01-13,42.764732190728964,12152795
2022-01-14,38.817946552327385,7586363
2022-01-17,35.05355375659074,13927471
2022-01-18,31.423468107235767,9925393
2022-01-19,26.29076058320433,2910224
2022-01-20,26.056037734484068,19088749
2022-01-21,25.247592159730583,16657065
2022-01-24,27.6554629237121,15432020
2022-01-25,26.22899228048074,15358900
2022-01-26,25.863603993028082,17988318
2022-01-27,26.820242187531523,5417835
2022-01-28,28.454046583511705,10114860
2022-01-31,31.258890260265414,3738222
2022-02-01,31.798935640697458,15424702
2022-02-02,28.42016259578283,10983474
2022-02-03,29.648679980600363,3868985
2022-02-04,27.101431598946757,2332597
2022-02-07,30.5595086938061,7993221
2022-02-08,30.593878170927468,10200529
2022-02-09,32.27304138472042,9930416
2022-02-10,40.381105735173534,12160895
2022-02-11,42.05040495579181,8893638
2022-02-14,42.076962133862786,7161711
2022-02-15,39.42821635431307,3034039
2022-02-16,34.94264311895668,6749260
2022-02-17,34.15288322726677,8521512
2022-02-18,31.732742489091688,16827711
2022-02-21,36.25323250498781,7510418
2022-02-22,37.822888178530164,7408642
2022-02-23,40.55453031426625,18394384
2022-02-24,35.59074453285396,17383378
2022-02-25,36.55943133780802,7236614
2022-02-28,29.77258548839276,18915001
2022-03-01,26.026294668748303,11481438
2022-03-02,23.88984049764792,18070415
2022-03-03,19.725070294585016,18776306
2022-03-04,16.983376712323093,6611032
2022-03-07,20.237027468724314,17197976
2022-03-08,22.601961222150447,9972376
2022-03-09,21.93695477877574,6378819
2022-03-10,26.93879350492897,2642308
2022-03-11,26.943613716663474,14356525
2022-03-14,31.441041226255393,17638460
2022-03-15,36.756870453928386,8388967
2022-03-16,34.106382486439344,5263009
2022-03-17,35.3431326586781,1786264
2022-03-18,38.134735271522935,16063743
2022-03-21,35.53712621697684,9492597
2022-03-22,26.44985939948002,6381223
2022-03-23,28.900364668547176,12998708
2022-03-24,26.8557088000508,15058970
2022-03-25,27.28357672885743,7521151
2022-03-28,27.579751671139768,17506715
2022-03-29,28.772134504052026,11756581
2022-03-30,28.16027980784515,16550658
2022-03-31,29.060720767467604,11824902
2022-04-01,32.61230447133712,19846689
2022-04-04,27.305767187629417,1753039
2022-04-05,23.98442930108278,4081404
2022-04-06,22.29086210456224,18290211
2022-04-07,22.207115683764982,9249909
2022-04-08,24.373123526311794,16678785
2022-04-11,28.14246894519908,7891665
2022-04-12,28.15345764115341,10978316
2022-04-13,27.50454557988537,1455330
2022-04-14,31.883540419321776,15010080
2022-04-15,31.889122569829823,18284530
2022-04-18,31.090538501165817,14581973
2022-04-19,34.184122003740626,14061513
2022-04-20,35.7180639151425,12111902
2022-04-21,36.640081508552,12788276
2022-04-22,34.49519247855594,10794665
2022-04-25,31.688038912385768,2697985
2022-04-26,30.275046420912748,11412637
2022-04-27,28.156859365533922,2400892
2022-04-28,26.08467941112927,8623391
2022-04-29,25.196353168465418,12747492
2022-05-02,25.51634567358985,7407639
2022-05-03,26.249648287349874,14718873
2022-05-04,24.495007767200754,14724357
2022-05-05,26.063558342129262,17124485
2022-05-06,27.24603221924554,9958162
2022-05-09,27.602183219968175,13829185
2022-05-10,27.236808735001112,17818377
2022-05-11,25.053961171950203,16770126
2022-05-12,28.605829689835176,11159043
2022-05-13,29.612908313252788,1026820
2022-05-16,30.711510796629657,12376687
2022-05-17,29.467121278120906,7873501
2022-05-18,28.908704452114517,12973795
2022-05-19,32.31531407995501,1690940
2022-05-20,41.61006004594011,6099619
2022-05-23,39.95463445572383,7488046
2022-05-24,39.827580081839756,17606222
2022-05-25,38.38221623019816,16935452
