,close,volume
2021-09-03,129.8819104779847,7508850
2021-09-06,113.34067664751778,9410611
2021-09-07,124.08466572060279,16005350
2021-09-08,113.06407844817842,6988005
2021-09-09,123.26919299759079,9624211
2021-09-10,135.34367456116186,15479224
2021-09-13,119.62162966284751,14023359
2021-09-14,114.68165863112849,17954747
2021-09-15,102.57799171157737,16078463
2021-09-16,105.17157644128163,1775607
2021-09-17,106.04118022509172,8295793
2021-09-20,90.51819884437361,15033024
2021-09-21,89.49410269514921,4108418
2021-09-22,93.5556175335125,7431211
2021-09-23,105.93620398746975,17857500
2021-09-24,109.27133462760222,7809671
2021-09-27,112.4522118151349,7418566
2021-09-28,111.21513298175454,17097946
2021-09-29,105.02517994916579,11901831
2021-09-30,117.8042554861861,1907302
2021-10-01,118.59899322106592,11796758
2021-10-04,119.60091031321491,7248607
2021-10-05,129.51645897403537,17164415
2021-10-06,117.43029720989567,5585093
2021-10-07,98.99870613554243,13104553
2021-10-08,101.61081104398107,8758837
2021-10-11,107.4855966378009,19991777
2021-10-12,101.01158969577453,1462773
2021-10-13,91.93184082646138,14305809
2021-10-14,91.45459768612133,13165086
2021-10-15,117.96094535027261,5872619
2021-10-18,125.60972460531777,2645272
2021-10-19,101.01129529828644,19507707
2021-10-20,108.3025473820424,13223420
2021-10-21,114.74144154602055,2815003
2021-10-22,118.03517205544982,5050515
2021-10-25,119.31301549351114,11385835
2021-10-26,103.33103536371333,5534151
2021-10-27,111.19449892725795,14019968
2021-10-28,108.56545043188305,17023952
2021-10-29,109.18842256466054,6072723
2021-11-01,130.02508385834912,3687016
2021-11-02,152.9890600035826,4534443
2021-11-03,134.36516620468117,14228490
2021-11-04,130.15295506769516,16662898
2021-11-05,113.43386714555685,10676330
2021-11-08,101.66758945047619,3951174
2021-11-09,106.56648906765851,1039798
2021-11-10,105.92088000106853,11110496
2021-11-11,117.47809865232674,12872596
2021-11-12,117.86449046552518,4409129
2021-11-15,127.78285127348394,12756141
2021-11-16,132.08418332468528,2358004
2021-11-17,139.01114456979627,1151415
2021-11-18,139.42637437840312,10617441
2021-11-19,148.74009030456614,6343234
2021-11-22,157.72860701264858,8873839
2021-11-23,166.99767210017404,19550435
2021-11-24,181.370184757112,10359320
2021-11-25,202.89140924583165,11474288
2021-11-26,223.35788136079117,10332856
2021-11-29,195.65262046310022,9657587
2021-11-30,192.34488453879666,14111661
2021-12-01,179.80383244872218,9834790
2021-12-02,171.5092009909973,15900828
2021-12-03,157.85440592003545,4068066
2021-12-06,131.3262015208499,15849454
2021-12-07,139.23847301224671,2077731
2021-12-08,131.41090595964047,1972475
2021-12-09,142.1180131657433,9567368
2021-12-10,138.02180624659528,18262673
2021-12-13,149.40306207215983,9228971
2021-12-14,149.20906319292877,2071529
2021-12-15,143.95156638282242,11511289
2021-12-16,139.89267771484788,11597303
2021-12-17,159.96363146488966,9968109
2021-12-20,176.32741848170784,7922768
2021-12-21,175.66887918423882,11743620
2021-12-22,163.88252193360805,1859402
2021-12-23,145.49881790246658,11861085
2021-12-24,158.46095767238597,3435724
2021-12-27,168.7998358815994,2361789
2021-12-28,174.7425474939534,14403896
2021-12-29,168.68154817095413,5684729
2021-12-30,178.91593138485976,1819840
2021-12-31,202.13025284885165,18223269
2022-01-03,183.21914688116195,3995492
2022-01-04,168.07262307883428,17720532
2022-01-05,198.85770009788735,3613673
2022-01-06,205.8106117208612,19984592
2022-01-07,186.62907327713063,16462185
2022-01-10,159.00556560267975,8409848
2022-01-11,154.73130592669523,2468711
2022-01-12,155.63738383825097,13348405
2022-01-13,174.26110379304404,8685359
2022-01-14,151.9803099759842,1983289
2022-01-17,145.20793899394042,14499865
2022-01-18,175.64908904775837,19653867
2022-01-19,186.5890825749587,18309113
2022-01-20,212.43332592355108,11633693
2022-01-21,212.0392612086349,10599459
2022-01-24,190.25749183974034,5237290
2022-01-25,162.40218339405166,6880451
2022-01-26,172.65127303336848,5393541
2022-01-27,175.50215540676683,16581288
2022-01-28,172.53468154945602,5750198
2022-01-31,174.49235380420683,1421938
2022-02-01,174.08231124778246,16785822
2022-02-02,203.1345566252584,3842333
2022-02-03,206.62130583185677,6027723
2022-02-04,188.05635461912408,13777092
2022-02-07,176.74854541850615,16405216
2022-02-08,168.6857777887526,18736560
2022-02-09,168.8998213837147,9054099
2022-02-10,171.1889739255763,5873830
2022-02-11,143.93300371068872,1547740
2022-02-14,134.59370786035106,18156167
2022-02-15,140.39501296612744,2635702
2022-02-16,146.4604921435063,15287018
2022-02-17,158.23736034835707,17947237
2022-02-18,164.43356867952028,12841485
2022-02-21,136.0062043289363,13238577
2022-02-22,126.15069002520087,11359642
2022-02-23,127.13258169586456,7101637
2022-02-24,103.24122243561486,12892738
2022-02-25,121.21755427798446,6445256
2022-02-28,128.00155609727904,10691263
2022-03-01,116.23847330091,6886191
2022-03-02,119.51219788702981,8379499
2022-03-03,130.81217315990887,8707195
2022-03-04,135.92883511931376,1634317
2022-03-07,152.25530476630726,16950478
2022-03-08,142.43486586058282,12935317
2022-03-09,136.7468586136744,11931961
2022-03-10,127.89995026273135,6436896
2022-03-11,147.83946167084127,8819877
2022-03-14,137.074504357828,10492669
2022-03-15,140.71709914584466,18506097
2022-03-16,146.60017483702018,4193562
2022-03-17,139.83809682609115,8047034
2022-03-18,159.66160059164582,1100121
2022-03-21,158.62803136366753,3271635
2022-03-22,154.73450652575346,8882609
2022-03-23,164.48500502371292,5976137
2022-03-24,194.22459831167563,15771737
2022-03-25,197.6225585872969,6161020
2022-03-28,190.35290576395244,7096152
2022-03-29,210.77207054145418,5504288
2022-03-30,235.15512907640925,1840803
2022-03-31,196.4766717178083,19818205
2022-04-01,195.79122750357888,17969476
2022-04-04,192.05111786819973,19252866
2022-04-05,170.6209949844259,4187113
2022-04-06,148.79417401067016,18674438
2022-04-07,158.23198791456406,8445711
2022-04-08,143.63449684232768,16529179
2022-04-11,165.16256505177986,6047656
2022-04-12,193.9888187083734,17508910
2022-04-13,211.01087510960213,16593249
2022-04-14,217.63727033552829,12636869
2022-04-15,221.93004490830208,12641256
2022-04-18,200.39673907566524,11690455
2022-04-19,196.80178158817603,13383293
2022-04-20,166.78882465542242,14549022
2022-04-21,186.97508626570587,3494277
2022-04-22,195.00394327917223,15637448
2022-04-25,203.28280312890448,12958566
2022-04-26,230.44726801907896,7685251
2022-04-27,232.5076592615348,7447822
2022-04-28,252.80525016825837,5346266
2022-04-29,279.0711370454672,15256972
2022-05-02,279.41531707811384,19286697
2022-05-03,270.49279031390347,6759719
2022-05-04,255.45659881393377,16043745
2022-05-05,263.57642330641653,13262501
2022-05-06,284.2665348018276,3594103
2022-05-09,332.5899481089689,19373911
2022-05-10,240.84809912387212,11080445
2022-05-11,225.16838588833286,13288270
2022-05-12,224.9979071243275,18255391
2022-05-13,225.9506283715933,14785765
2022-05-16,248.76541662955117,12499652
2022-05-17,236.67516240435052,15329196
2022-05-18,220.58553724503656,11829468
2022-05-19,220.48873961807436,1068761
2022-05-20,204.22095347300012,5429342
2022-05-23,190.74892821732433,11548762
2022-05-24,177.9184689758325,13994355
2022-05-25,175.41409610233592,7304769
2022-05-26,185.01222429658011,1357619
2022-05-27,201.22766632288125,18922229
2022-05-30,207.66409754146525,1093246
2022-05-31,241.05270106335445,3640649
2022-06-01,242.33564281791303,5455510
2022-06-02,218.35978141235177,6601465
2022-06-03,228.80116106504326,17682445
2022-06-06,221.67592599114568,16568639
2022-06-07,245.8566647059004,3664120
2022-06-08,248.63891315021934,6132662
2022-06-09,240.15931583082943,9159267
2022-06-10,231.2211743504605,9176467
2022-06-13,211.73915677874544,12631344
2022-06-14,231.44966144644818,12175683
2022-06-15,249.92539833077376,5920679
2022-06-16,258.68951176922275,16071288
2022-06-17,252.15725886407782,14583698
2022-06-20,225.2201781346544,12032916
2022-06-21,182.50459237432275,4040442
2022-06-22,183.1232581647364,16843145
2022-06-23,158.72664765920166,7402300
2022-06-24,166.1260847454345,11882943
2022-06-27,206.02055597905067,13578179
2022-06-28,202.34741667951482,19797976
2022-06-29,214.00292403462456,5067529
2022-06-30,198.3407481211699,15213516
2022-07-01,214.24213460854742,13386332
2022-07-04,235.1349074346012,16564783
2022-07-05,235.95979327410888,17169230
2022-07-06,212.76306884406537,4840011
2022-07-07,224.28298043803872,13658406
2022-07-08,191.72284061149423,15588255
2022-07-11,174.68635405577143,9206682
2022-07-12,209.82760813056575,3025833
2022-07-13,221.22426002071,2476137
2022-07-14,223.8261616820941,5429472
2022-07-15,261.8867466778405,11448479
2022-07-18,251.97749590240812,16558778
2022-07-19,262.7958002595939,17069364
2022-07-20,279.2736239827706,14745375
2022-07-21,209.13953993850112,2631000
2022-07-22,203.56297795153515,3479045
2022-07-25,188.91363513375677,1629750
2022-07-26,155.6305329966642,13444672
2022-07-27,190.02331204065678,7643371
2022-07-28,194.70988509275577,3600447
2022-07-29,159.97933204006227,3858820
2022-08-01,164.60427845668795,8802020
2022-08-02,177.59940618960638,3211640
2022-08-03,163.03726794577562,18335732
2022-08-04,166.77060291526243,5933014
2022-08-05,184.6826940266229,18667285
2022-08-08,179.38796575333873,12321238
2022-08-09,191.58869584165535,12037715
2022-08-10,177.67012278523637,10402270
2022-08-11,177.68680746490762,15571385
2022-08-12,156.7283109768109,5530878
2022-08-15,186.88147813237586,11565787
2022-08-16,171.37852193984816,14164566
2022-08-17,169.16808205223867,8279890
2022-08-18,187.82999289775822,12314598
2022-08-19,218.28141771377312,15442883
2022-08-22,227.17737962579704,2862316
2022-08-23,236.1968989469827,2503817
2022-08-24,255.0913147723862,17601459
2022-08-25,265.9685774697963,13041408
2022-08-26,252.84229684206124,16497398
2022-08-29,251.07209242691582,8183800
2022-08-30,305.7682052278846,14716784
2022-08-31,280.22551455627695,4837293
2022-09-01,287.33265792624076,14876164
2022-09-02,264.5386543924404,11864070
2022-09-05,239.8266831473162,18511918
2022-09-06,263.55021498984473,10408378
2022-09-07,254.09336311867003,13677534
2022-09-08,257.40339425395786,6013766
2022-09-09,214.52961456566402,7991701
2022-09-12,191.1689874023362,2172804
2022-09-13,200.88135889607804,19105065
2022-09-14,186.53223047302413,6960765
2022-09-15,167.13793624331697,18241294
2022-09-16,152.48662296240718,18782540
2022-09-19,173.38910049800572,4408516
2022-09-20,179.62806254716548,12930721
2022-09-21,198.45471574645202,8024328
2022-09-22,181.19490823011415,1664014
2022-09-23,178.3025436870936,5166764
2022-09-26,184.89207813782912,18707760
2022-09-27,175.40945990379046,19203845
2022-09-28,165.72765192480426,4526086
2022-09-29,179.73002299680985,6698245
2022-09-30,195.18182903963014,14340410
2022-10-03,204.65915006876182,5471226
2022-10-04,228.3219526434828,15897700
2022-10-05,263.38196498614235,5329150
2022-10-06,286.19158928767945,18936894
2022-10-07,262.6434879197673,7582757
2022-10-10,258.40241358425516,16808504
2022-10-11,261.5347856502777,12801175
2022-10-12,259.98486605204164,16160734
2022-10-13,273.8280236661677,13901710
2022-10-14,284.3813816694812,5290222
2022-10-17,353.62489892992915,15358342
2022-10-18,523.2444544235485,3024730
