sector,ticker_a,ticker_b,coint_score,pvalue,hedge_ratio,spread_mean,spread_std
Financials,BAC,TFC,-7.354996042975337,1.1970987755120878e-09,0.25502601903127886,18.925088474892416,7.155537212409605
Financials,BAC,MS,-6.983302110416604,9.404078161669055e-09,0.08666450586201305,28.08997941270697,7.936969550745582
Financials,BAC,USB,-6.723853149707233,3.836298488058732e-08,0.3216337675030605,16.12992103223495,7.7569483908618455
Energy,EOG,OXY,-6.636790606209604,6.107261603052159e-08,-1.7660052736775824,240.0124452903656,21.73422677042684
Financials,BAC,C,-6.568064522405967,8.79286116819393e-08,0.220114741539748,22.96082054820579,7.725394675740969
Energy,EOG,VLO,-6.022327727970126,1.4528182817254408e-06,-0.5537444715533073,160.24349058159547,23.942822179608253
Energy,CVX,COP,-5.9473600174657495,2.106895271636539e-06,0.4189852504992745,122.18632252446555,37.785861414948805
Energy,EOG,MPC,-5.760828364395432,5.229978638590948e-06,-0.3057583426163973,157.1592695097726,24.56187627242419
Energy,EOG,PSX,-5.717095389695386,6.450894214089764e-06,0.10405717733713528,102.58863536297362,24.720949621775688
Energy,SLB,MPC,-5.65634236361108,8.614991254304278e-06,-0.5467587473335375,125.56581853088689,11.579752237508405
Energy,CVX,SLB,-5.555926559446676,1.381790838305776e-05,0.7566443739412426,135.37544890771903,39.53326963100034
Financials,WFC,C,-5.417936006875009,2.6135607037654457e-05,0.15630299898967764,37.16575955130606,10.82958804279499
Energy,CVX,HES,-5.363447037055386,3.348345208446519e-05,-0.5393410534529159,257.3591336786661,39.914504657054984
Financials,WFC,MS,-5.3608636190452765,3.387718069049066e-05,0.049407449188080446,42.088087238966374,11.007660903917136
Financials,WFC,COF,-5.347797902453733,3.59377187252342e-05,0.03708735836892198,40.10386967844791,10.778330351099648
Financials,GS,TFC,-5.313970896487982,4.1848074681621005e-05,3.7430034578181535,111.66679274977777,87.57750005114201
Energy,CVX,MPC,-5.2837136893752445,4.791767490691391e-05,-0.5163670058606429,243.8521022749836,40.206976319952915
Retail,COST,DG,-5.282875071565385,4.809739979422744e-05,-3.6127032866609188,972.7678115314197,163.43784383578367
Financials,WFC,USB,-5.280507597732455,4.860827668408033e-05,0.22122092806001514,32.78564455619989,10.862779886043551
Retail,TGT,LOW,-5.123272096097912,9.708085870619428e-05,0.17250565821258798,119.9788724411363,44.95614405466683
Financials,C,TFC,-5.1181386965308695,9.926491659961047e-05,0.5738132715100464,23.648578141686773,14.192787682485987
Retail,HD,DG,-5.11318518989971,0.00010141693271721486,-5.7044632010207135,1010.2957718476616,114.70878167564595
Energy,PSX,VLO,-5.082432302179104,0.00011580916282725568,-1.074247321189145,222.7597356469591,34.088054433272625
Retail,TGT,HD,-5.047255818613572,0.00013466317290256836,0.10788110245456134,129.72330349908003,45.40829675814532
Retail,COST,BBY,-4.991634486898921,0.00017057305088854564,-3.4106317533572414,860.0853106692955,174.08253239586222
Financials,GS,USB,-4.973645689378872,0.00018402213408608977,5.291332037092932,33.193899359635836,93.60670155201734
Retail,COST,KR,-4.9326885731885755,0.0002185073867147874,3.20893707578499,422.42769381272205,172.49000055670783
Retail,COST,TJX,-4.926403352064769,0.00022431497247623713,2.585248651042,350.6432495827095,166.56701078115015
Financials,C,USB,-4.889685885302185,0.00026128454696129855,0.8319175351458535,10.257538393879994,14.903066165581604
Energy,PSX,HES,-4.878845846734722,0.0002732606805779687,0.05999544355418228,129.92561423958168,36.86240799236953
