id,L,EI,w,R,N,lumped_tipDefl,lumped_energy,lumped_maxPen,lumped_iters,lumped_converged,fem_tipDefl,fem_energy,fem_maxPen,fem_iters,fem_converged,tipDefl_deviation_pct,energy_deviation_pct
C01,0.1,0.05,0.4,0.12,12,0.076536686,-0.015029555,0,60,0,0.076536686,-0.014451495,0,60,0,2.6737203e-009,3.8461538
C02,0.15,0.05,0.4,0.12,12,0.11480503,-0.033816498,0,60,0,0.11480503,-0.032515863,0,60,0,9.0243615e-009,3.8461538
C03,0.2,0.05,0.4,0.12,12,0.11268019,0.53597695,0,60,0,0.14241288,1.2003177,0.01613572,60,0,26.386789,123.94951
C04,0.25,0.05,0.4,0.12,12,0.080376858,2.059892,0.017174847,60,0,0.1234326,15.888781,0.024544593,60,0,53.567331,671.3405
C05,0.3,0.05,0.4,0.12,12,0.15988612,13.422022,0.03085006,60,0,0.064708732,27.823025,0.034058241,60,0,59.528238,107.29384
C06,0.35,0.05,0.4,0.12,12,0.21654595,5.4412548,0,60,0,0.17475002,79.36772,0.026062973,60,0,19.301182,1358.629
C07,0.4,0.05,0.4,0.12,12,0.26898375,7.8785814,0,60,0,0.36947253,81.430158,0,60,0,37.35868,933.5637
C08,0.45,0.05,0.4,0.12,12,0.2525913,96.414081,0.0082805218,60,0,0.43138174,82.808188,0.0067686469,60,0,70.782504,14.111936
C09,0.3,0.005,0.4,0.12,12,0.16270261,3.2210717,0.028122001,60,0,0.19094626,20.070134,0.0317487,60,0,17.35906,523.08872
C10,0.3,0.01,0.4,0.12,12,0.28935568,27.738814,0.022250382,60,0,0.20858006,26.55253,0.040552736,60,0,27.915684,4.2766228
C11,0.3,0.02,0.4,0.12,12,0.075163065,5.3074004,0,60,0,0.21000861,11.37076,0,60,0,179.404,114.24349
C12,0.3,0.05,0.4,0.12,12,0.15988612,13.422022,0.03085006,60,0,0.064708732,27.823025,0.034058241,60,0,59.528238,107.29384
C13,0.3,0.1,0.4,0.12,12,0.15985725,44.42943,0.0051284333,60,0,0.16093425,94.373573,0.031527932,60,0,0.67372658,112.4123
C14,0.3,0.2,0.4,0.12,12,0.062826137,18.648684,0.057410003,60,0,0.16268253,63.936526,0.080572688,60,0,158.94085,242.84739
C15,0.3,0.05,0.1,0.12,12,0.15993296,13.47953,0.030782553,60,0,0.06476362,27.858372,0.034034304,60,0,59.505771,106.67169
C16,0.3,0.05,0.2,0.12,12,0.15991774,13.460409,0.03080498,60,0,0.064743509,27.84589,0.034043636,60,0,59.514492,106.87253
C17,0.3,0.05,0.4,0.12,12,0.15988612,13.422022,0.03085006,60,0,0.064708732,27.823025,0.034058241,60,0,59.528238,107.29384
C18,0.3,0.05,0.6,0.12,12,0.15985526,13.383774,0.030894629,60,0,0.064670195,27.798787,0.034075534,60,0,59.544532,107.70514
C19,0.3,0.05,0.8,0.12,12,0.15982455,13.345598,0.030938607,60,0,0.064640547,27.778356,0.034085215,60,0,59.555307,108.14621
C20,0.3,0.05,1,0.12,12,0.15979434,13.307517,0.030982418,60,0,0.064602998,27.754333,0.034102344,60,0,59.57116,108.56133
C21,0.3,0.05,0.4,0.08,12,0.11129217,70.058279,0.068927942,60,0,0.14454759,131.50066,0.03117342,60,0,29.881178,87.701813
C22,0.3,0.05,0.4,0.1,12,0.15278428,57.049197,0.080494949,60,0,0.14821533,86.136687,0.026183032,60,0,2.9904578,50.986678
C23,0.3,0.05,0.4,0.12,12,0.15988612,13.422022,0.03085006,60,0,0.064708732,27.823025,0.034058241,60,0,59.528238,107.29384
C24,0.3,0.05,0.4,0.15,12,0.1800117,5.3430322,0.038271669,60,0,0.13443261,7.0309872,0.021241647,60,0,25.320074,31.591707
C25,0.3,0.05,0.4,0.18,12,0.18538641,0.59769376,0.004144154,60,0,0.20234375,2.5179,0.015587467,60,0,9.1470221,321.26925
