x,z
-0.119999,0
-0.109683,0.00144719
-0.099752,-0.00169535
-0.0954471,-0.0111808
-0.0858594,-0.0152532
-0.0755307,-0.0139027
-0.0679032,-0.020997
-0.0613912,-0.0291272
-0.0511113,-0.0308097
-0.0408148,-0.0323875
-0.0344441,-0.040629
-0.026035,-0.0467767
-0.0156453,-0.0475255
-0.00632978,-0.0521868
0.000696403,-0.059877
0.0100499,-0.0644616
0.0203045,-0.0662921
0.0288318,-0.0722747
0.0366894,-0.0791133
0.0459945,-0.0837953
0.055333,-0.0884105
0.0630647,-0.095391
0.0702151,-0.102966
0.0782955,-0.10954
0.0867601,-0.115611
